5_9_5_0_0	53
5_9_6_0_0	58
5_9_7_0_0	65
5_9_8_0_0	71
5_9_9_0_0	79
15_0_0_0_0	64
6_1_2_0_0	23
6_1_3_0_0	28
6_1_4_0_0	33
6_1_5_0_0	39
6_1_6_0_0	45
6_1_7_0_0	52
6_1_8_0_0	59
6_1_9_0_0	67
6_2_2_0_0	26
6_2_3_0_0	31
6_2_4_0_0	36
6_2_5_0_0	42
6_2_6_0_0	48
6_2_7_0_0	55
6_2_8_0_0	62
6_2_9_0_0	70
6_3_2_0_0	29
6_3_3_0_0	34
6_3_4_0_0	39
6_3_5_0_0	45
6_3_6_0_0	51
6_3_7_0_0	58
6_3_8_0_0	65
6_3_9_0_0	73
6_4_2_0_0	32
6_4_3_0_0	37
6_4_4_0_0	42
6_4_5_0_0	48
6_4_6_0_0	54
6_4_7_0_0	61
6_4_8_0_0	68
6_4_9_0_0	76
6_5_2_0_0	35
6_5_3_0_0	40
6_5_4_0_0	45
6_5_5_0_0	51
6_5_6_0_0	57
6_5_7_0_0	64
6_5_8_0_0	71
6_5_9_0_0	79
6_6_2_0_0	38
6_6_3_0_0	43
6_6_4_0_0	48
6_6_5_0_0	54
6_6_6_0_0	60
6_6_7_0_0	67
6_6_8_0_0	74
6_6_9_0_0	82
6_7_2_0_0	41
6_7_3_0_0	46
6_7_4_0_0	51
6_7_5_0_0	57
6_7_6_0_0	63
6_7_7_0_0	70
6_7_8_0_0	77
6_7_9_0_0	85
6_8_2_0_0	44
6_8_3_0_0	49
6_8_4_0_0	54
6_8_5_0_0	60
6_8_6_0_0	66
6_8_7_0_0	73
6_8_8_0_0	80
6_8_9_0_0	88
6_9_2_0_0	47
6_9_3_0_0	52
6_9_4_0_0	57
6_9_5_0_0	63
6_9_6_0_0	69
6_9_7_0_0	76
6_9_8_0_0	83
6_9_9_0_0	91
16_0_0_0_0	72
7_1_2_0_0	28
7_1_3_0_0	34
7_1_4_0_0	39
7_1_5_0_0	46
7_1_6_0_0	52
7_1_7_0_0	60
7_1_8_0_0	67
7_1_9_0_0	76
7_2_2_0_0	32
7_2_3_0_0	37
7_2_4_0_0	43
7_2_5_0_0	49
7_2_6_0_0	56
7_2_7_0_0	63
7_2_8_0_0	71
7_2_9_0_0	79
7_3_2_0_0	35
7_3_3_0_0	41
7_3_4_0_0	46
7_3_5_0_0	53
7_3_6_0_0	59
7_3_7_0_0	67
7_3_8_0_0	74
7_3_9_0_0	83
7_4_2_0_0	39
7_4_3_0_0	44
7_4_4_0_0	50
7_4_5_0_0	56
7_4_6_0_0	63
7_4_7_0_0	70
7_4_8_0_0	78
7_4_9_0_0	86
7_5_2_0_0	42
7_5_3_0_0	48
7_5_4_0_0	53
7_5_5_0_0	60
7_5_6_0_0	66
7_5_7_0_0	74
7_5_8_0_0	81
7_5_9_0_0	90
7_6_2_0_0	46
7_6_3_0_0	51
7_6_4_0_0	57
7_6_5_0_0	63
7_6_6_0_0	70
7_6_7_0_0	77
7_6_8_0_0	85
7_6_9_0_0	93
7_7_2_0_0	49
7_7_3_0_0	55
7_7_4_0_0	60
7_7_5_0_0	67
7_7_6_0_0	73
7_7_7_0_0	81
7_7_8_0_0	88
7_7_9_0_0	97
7_8_2_0_0	53
7_8_3_0_0	58
7_8_4_0_0	64
7_8_5_0_0	70
7_8_6_0_0	77
7_8_7_0_0	84
7_8_8_0_0	92
7_8_9_0_0	100
7_9_2_0_0	56
7_9_3_0_0	62
7_9_4_0_0	67
7_9_5_0_0	74
7_9_6_0_0	80
7_9_7_0_0	88
7_9_8_0_0	95
7_9_9_0_0	104
17_0_0_0_0	81
8_1_2_0_0	34
8_1_3_0_0	40
8_1_4_0_0	46
8_1_5_0_0	53
8_1_6_0_0	60
8_1_7_0_0	68
8_1_8_0_0	76
8_1_9_0_0	85
8_2_2_0_0	38
8_2_3_0_0	44
8_2_4_0_0	50
8_2_5_0_0	57
8_2_6_0_0	64
